"Place","Datetime","Fire","PM2.5","PM10","NO","NO2","NOx","CO","CO2","O2","Temper","Humid"
"Ho Chi Minh City","6/23/2023 20:00","Non","28.01","18.85","15.38","16.53","26.92","24.12","20.42","96.63","26.66","22.08"
"Ho Chi Minh City","6/23/2023 21:00","Fire","81.19","86.06","68.44","63.16","75.95","108.45","89.27","18.15","105.38","75.15"
"Ho Chi Minh City","6/23/2023 21:05","Fire","98.76","58.59","57.69","83.81","61.4","98.32","102.54","8.61","153.71","85.86"
"Ho Chi Minh City","6/23/2023 22:00","Non","21.09","21.13","19.93","17.18","20.25","25.44","12.98","97.53","23.29","25.67"
"Ho Chi Minh City","6/23/2023 23:00","Fire","81.93","88.26","66.99","61.96","65.44","74.01","72.8","16.73","114.64","96.72"
"Ho Chi Minh City","6/23/2023 23:05","Fire","78.43","59.37","93.51","74.65","69.6","129.82","82.18","5.17","146.39","85.42"
"Ho Chi Minh City","6/23/2023 23:10","Fire","69.55","81.15","79.36","64.17","82.09","98.89","84.91","8.35","168.3","82.95"
"Ho Chi Minh City","6/24/2023 0:00","Non","30.65","20.89","26.71","15.35","28.64","17.05","20.47","89.52","31.5","24.94"
"Ho Chi Minh City","6/24/2023 1:00","Fire","91.94","87.07","93.09","78.85","89.9","73.81","144.27","5.49","188.7","77.07"
"Ho Chi Minh City","6/24/2023 2:00","Non","25.27","18.78","27.31","21.91","19.65","22.16","16.35","91.1","28.56","24.57"
"Ho Chi Minh City","6/24/2023 3:00","Non","32.67","21.28","18.63","28.89","29.88","15.95","10.57","86.49","32.49","20.09"
"Ho Chi Minh City","6/24/2023 4:00","Fire","71.91","76.68","79.69","65.92","79.68","94.98","92.94","17.55","93","82"
"Ho Chi Minh City","6/24/2023 5:00","Non","36.77","14.95","28.61","21.26","26.88","12.52","13.67","70.54","25.23","24.21"
"Ho Chi Minh City","6/24/2023 6:00","Fire","94.99","87.93","76.44","64.37","82.91","147.61","96.77","11.22","159.55","73.52"
"Ho Chi Minh City","6/24/2023 6:05","Fire","68.33","64.34","83.18","66.22","62.42","86.31","128.83","17.4","137.7","73.1"
"Ho Chi Minh City","6/24/2023 7:00","Non","24.11","29.63","24.55","21.62","23.43","26.22","23.29","67.85","29.42","20.3"
"Ho Chi Minh City","6/24/2023 8:00","Fire","97.76","80.26","80.84","98.39","77.98","90.59","128.06","19.87","125.05","93.31"
"Ho Chi Minh City","6/24/2023 8:05","Fire","72.03","79.48","81.59","91.85","84.95","105.55","121.47","15.56","144.37","96"
"Ho Chi Minh City","6/24/2023 9:00","Non","38.93","19.63","16.54","19.28","19.54","14.49","27.99","61.99","24.47","26.33"
"Ho Chi Minh City","6/24/2023 10:00","Fire","89.39","80.38","83.44","71.82","63","126.92","144.21","18.84","124.13","86.2"
"Ho Chi Minh City","6/24/2023 10:05","Fire","84.6","77.14","78.16","93.12","84.5","103.1","107.17","12.01","138.88","95.92"
"Ho Chi Minh City","6/24/2023 11:00","Non","31.82","16.82","14.71","23.31","24.4","27.33","27.04","83.27","23.98","27.99"
"Ho Chi Minh City","6/24/2023 12:00","Non","31.82","15.67","24.88","19.91","24.5","27.87","29.83","89.04","24.27","22.34"
"Ho Chi Minh City","6/24/2023 13:00","Fire","84.87","76.53","91.51","83.17","66.58","75.74","92.34","8.87","157.55","72.43"
"Ho Chi Minh City","6/24/2023 13:05","Fire","65.84","89.12","86.92","98.57","83.18","139.2","97.83","5.24","100.84","77.16"
"Ho Chi Minh City","6/24/2023 13:10","Fire","89.98","68.64","57.24","68.95","97.91","103.68","75.64","19.55","109.8","78.76"
"Ho Chi Minh City","6/24/2023 13:15","Fire","70.73","77.64","92.99","64.7","88.65","77.36","77.4","11.17","113.66","73.21"
"Ho Chi Minh City","6/24/2023 14:00","Non","24.8","26.75","29.51","28.94","22.05","21.95","29.35","63.88","31.25","21.3"
"Ho Chi Minh City","6/24/2023 15:00","Non","35.03","27.07","10.92","24.45","28.08","14.69","17.57","71.19","25.76","20.04"
"Ho Chi Minh City","6/24/2023 16:00","Non","32.36","13.9","22.42","25.83","24.76","11.53","28.66","99.67","21.03","24.33"
"Ho Chi Minh City","6/24/2023 17:00","Non","31.69","11.4","18.01","26.85","28.68","10.95","16.07","87.98","31.35","20.4"
"Ho Chi Minh City","6/24/2023 18:00","Non","31.73","17.12","16.38","17.78","26.34","26.99","17.57","91.77","27.96","21.98"
"Ho Chi Minh City","6/24/2023 19:00","Fire","98.48","66.15","94.36","67.41","79.37","114.53","112.13","8.79","112.08","96.24"
"Ho Chi Minh City","6/24/2023 19:05","Fire","86.61","70.91","89.95","68.05","94.12","128.62","76.89","12.48","140.1","74.59"
"Ho Chi Minh City","6/24/2023 19:10","Fire","90.89","65.95","62.32","94.32","77.45","78.57","75.38","17.5","183.92","80.31"
"Ho Chi Minh City","6/24/2023 19:15","Fire","89.31","84.54","85.35","77.46","71.27","84.42","122.27","8.7","144.83","84.28"
"Ho Chi Minh City","6/24/2023 20:00","Non","24.49","20.99","22.4","24.31","29.6","14.08","12.78","79.26","26.71","26.69"
"Ho Chi Minh City","6/24/2023 21:00","Fire","76.82","80.29","64.06","88.24","78.31","72.78","73.57","10.55","145.57","78.38"
"Ho Chi Minh City","6/24/2023 22:00","Non","31.22","16.62","15.34","28.58","22.01","11.72","14.99","62.97","30.55","20.92"
"Ho Chi Minh City","6/24/2023 23:00","Fire","87.91","59.69","71.76","97.07","60.67","145.23","140.12","19.59","106.85","73.72"
"Ho Chi Minh City","6/24/2023 23:05","Fire","69.23","70.25","97.28","62.53","76.38","85.5","107.81","19.11","106.86","68.99"
"Ho Chi Minh City","6/24/2023 23:10","Fire","79.27","74.92","83.32","98.81","75.45","85.37","147.55","13.29","134.79","77.1"
"Ho Chi Minh City","6/24/2023 23:15","Fire","96.26","84.74","55.04","84.99","62.97","127.88","88.6","11.68","198.3","90.24"
"Ho Chi Minh City","6/24/2023 23:20","Fire","78.36","81.73","63.26","73.47","91.09","108.7","108.97","5.92","172.56","94.39"
"Ho Chi Minh City","6/24/2023 23:25","Fire","97.08","78.62","59.35","90.5","69.59","94.92","122.4","6.51","149.53","85.32"
"Ho Chi Minh City","6/24/2023 23:30","Fire","90.52","84.08","59.89","87.47","94.63","78.32","103.52","8.56","144.86","76.73"
"Ho Chi Minh City","6/24/2023 23:35","Fire","71.05","63.76","74.2","82.49","67.36","136.06","77.1","19.82","184.5","89.06"
"Ho Chi Minh City","6/25/2023 0:00","Non","20.45","27.67","14","25.42","20.98","13.94","27.72","78.21","26.62","25.5"
"Ho Chi Minh City","6/25/2023 1:00","Fire","81.41","81.76","69.57","95.79","60.4","79.72","98.08","10.1","183.54","76.9"
"Ho Chi Minh City","6/25/2023 1:05","Fire","82.04","81.98","82.84","88.82","74.74","134.69","102.54","19.76","159.02","92.41"
"Ho Chi Minh City","6/25/2023 2:00","Non","36.18","28.04","20.96","23.59","20.66","19.11","18.45","88.71","32.22","28.01"
"Ho Chi Minh City","6/25/2023 3:00","Non","24.89","25.73","14.25","18.47","25.16","22.09","11.21","95.85","27.92","24.99"
"Ho Chi Minh City","6/25/2023 4:00","Non","26.15","17.5","20.32","15.09","25.03","25.21","26.42","67.92","25.74","22.3"
"Ho Chi Minh City","6/25/2023 5:00","Non","36.8","15.7","16.5","20.58","26.21","24.56","15.53","93.75","24.88","27.38"
"Ho Chi Minh City","6/25/2023 6:00","Fire","81.83","74.45","88.77","97.42","95.81","134.44","92.84","6.75","135.08","71.79"
"Ho Chi Minh City","6/25/2023 6:05","Fire","75.82","55.45","74.16","61.26","92.63","74.08","115.23","6.35","145.37","66.59"
"Ho Chi Minh City","6/25/2023 7:00","Non","35.82","20.16","18.56","27.62","19.57","15.8","26.75","89.17","26.98","25.81"
"Ho Chi Minh City","6/25/2023 8:00","Fire","83.65","78.6","94.39","96.87","68.82","124.34","92.89","14.71","112.54","90.84"
"Ho Chi Minh City","6/25/2023 9:00","Non","22.82","15.97","11.29","28.6","26.78","19.23","28.33","73.99","21.34","24.03"
"Ho Chi Minh City","6/25/2023 10:00","Fire","96.98","79.76","79.54","78.26","86.69","132.44","91.47","10.75","118.29","69.23"
"Ho Chi Minh City","6/25/2023 10:05","Fire","94.61","65.82","66.43","92.85","74.37","132.76","120.76","6.09","112.51","78.8"
"Ho Chi Minh City","6/25/2023 10:10","Fire","68.43","64.04","85.51","95.62","89.11","131.85","135.48","6.18","189.22","93.29"
"Ho Chi Minh City","6/25/2023 10:15","Fire","80.68","71.4","72.3","75.35","73.65","136.78","111.84","12.44","198.66","97.6"
"Ho Chi Minh City","6/25/2023 10:20","Fire","78.05","78.21","75.28","90.62","67.24","97.73","76.66","18.65","188.2","71.96"
"Ho Chi Minh City","6/25/2023 10:25","Fire","90.14","60.43","79.66","63.74","86.22","88.56","80.51","12.83","134.47","85.09"
"Ho Chi Minh City","6/25/2023 10:30","Fire","81.92","66.54","95.88","78.67","72.21","146.38","81.57","15.68","112.62","79.9"
"Ho Chi Minh City","6/25/2023 11:00","Non","34.51","27.28","15.89","22.13","25.06","24.47","11.89","96.13","27.8","28.34"
"Ho Chi Minh City","6/25/2023 12:00","Non","21.64","13.67","12.52","19.77","25.56","16.82","17.62","78.41","27.91","24.16"
"Ho Chi Minh City","6/25/2023 13:00","Non","35.86","20.93","23.34","21.77","18.65","18.9","20","85.67","29.46","29.39"
"Ho Chi Minh City","6/25/2023 14:00","Non","21.04","27.01","17.8","25.92","19.22","26.54","18.87","77.73","25.93","24.17"
"Ho Chi Minh City","6/25/2023 15:00","Fire","92.21","65.11","84.44","91.55","82.52","73.85","83.2","7.97","151.02","65.71"
"Ho Chi Minh City","6/25/2023 15:05","Fire","94.05","56.23","71.3","73.29","94.4","120.21","115.7","11.48","170.57","86.83"
"Ho Chi Minh City","6/25/2023 15:10","Fire","83.21","77.68","66.95","91.7","73.48","110.55","131.59","12.12","156.25","73.82"
"Ho Chi Minh City","6/25/2023 15:15","Fire","97.41","81.98","68.31","66.92","84.73","117.44","106.95","8.59","157.91","93.26"
"Ho Chi Minh City","6/25/2023 16:00","Non","32.28","29.86","10.01","22.44","24.11","20.1","29.27","75.34","21.39","20.2"
"Ho Chi Minh City","6/25/2023 17:00","Fire","92.97","86.2","60.68","93.09","81.08","117.46","90.3","15.58","169.24","98.41"
"Ho Chi Minh City","6/25/2023 17:05","Fire","92.76","64.23","86.97","91.9","92.35","141.97","146.85","17.19","174.42","99.86"
"Ho Chi Minh City","6/25/2023 17:10","Fire","85.23","62.75","64.46","86.56","75.44","109.18","75.87","19.24","145.67","93.63"
"Ho Chi Minh City","6/25/2023 18:00","Non","23.97","16.55","22.72","27.68","18.67","25.78","24.34","88.31","28.66","27.37"
"Ho Chi Minh City","6/25/2023 19:00","Fire","66.73","82.63","92.59","61.91","68.73","140.84","144.59","10.47","102.82","81.5"
"Ho Chi Minh City","6/25/2023 20:00","Non","34.76","18.07","14.01","22.04","15.87","15.03","13.59","92.3","22.71","22.54"
"Ho Chi Minh City","6/25/2023 21:00","Non","25.76","11.69","28.07","15.5","17.49","20.59","29.56","79.57","27.32","22.79"
"Ho Chi Minh City","6/25/2023 22:00","Fire","86.85","86.1","70.35","69.13","66.04","123.37","99.49","18.08","98.69","84.77"
"Ho Chi Minh City","6/25/2023 22:05","Fire","84.29","60.03","72.05","80.92","61.05","129.16","108.21","5.05","157.33","76.59"
"Ho Chi Minh City","6/25/2023 22:10","Fire","82.24","64.83","57.5","70.82","75.11","121.96","141.47","10.24","114.42","77.8"
"Ho Chi Minh City","6/25/2023 22:15","Fire","90.11","83.45","59.72","96.61","65.92","145.44","83.51","17.83","190.63","77.93"
"Ho Chi Minh City","6/25/2023 23:00","Non","39.93","25.54","20.48","23.14","18.09","25.37","20.25","82.34","31.91","20.62"
"Ho Chi Minh City","6/26/2023 0:00","Fire","76.52","88.29","84.11","86.15","75.68","126.74","93.43","7.91","111.94","89.09"
"Ho Chi Minh City","6/26/2023 0:05","Fire","91.37","62.09","98.97","80.37","73.1","133.55","129.74","18.38","104.82","80.26"
"Ho Chi Minh City","6/26/2023 0:10","Fire","88.65","62.75","81.8","67.34","98.86","148.77","97.98","19.94","182.26","92.77"
"Ho Chi Minh City","6/26/2023 1:00","Non","39.44","25.27","21.33","19.2","19.66","11.48","27.29","80.52","28.52","25"
"Ho Chi Minh City","6/26/2023 2:00","Fire","92.49","75.92","62.25","93.51","75.46","148.06","101.74","6.82","149.18","78.75"
"Ho Chi Minh City","6/26/2023 2:05","Fire","71.46","85.57","91.13","79.46","74.13","87.58","104.35","5.28","120.47","85.12"
"Ho Chi Minh City","6/26/2023 3:00","Non","23.33","17.63","20.35","19.79","18.76","20.89","20.29","73.4","29.93","26.06"
"Ho Chi Minh City","6/26/2023 4:00","Fire","65.54","77.16","64.96","76.53","84.13","83.48","83","15.99","118.46","89.21"
"Ho Chi Minh City","6/26/2023 5:00","Non","30.52","15.01","27.13","19.22","21.1","12.78","21.49","90.81","25.61","29.45"
"Ho Chi Minh City","6/26/2023 6:00","Non","30.73","17.17","21.43","23.82","26.38","10.87","20.49","72.79","31.82","26.75"
"Ho Chi Minh City","6/26/2023 7:00","Non","38.27","24.46","26.29","16.01","18.89","26.54","13.63","62.88","26.09","20.97"
"Ho Chi Minh City","6/26/2023 8:00","Fire","65.59","86.11","94.21","64.74","78.7","77.74","109.99","5.36","192.86","74.71"
"Ho Chi Minh City","6/26/2023 9:00","Non","34.61","24.13","27.35","15.3","16.92","13.21","18.22","96.1","24.28","20.25"
"Ho Chi Minh City","6/26/2023 10:00","Fire","84.12","58.72","82.07","84.96","62.6","144.41","140.05","5.89","195.06","89.58"
"Ho Chi Minh City","6/26/2023 10:05","Fire","81.08","69.4","56.73","70.73","70.63","81.48","113.4","10.98","90.01","66.52"
"Ho Chi Minh City","6/26/2023 10:10","Fire","68.86","85.1","63.61","66.17","91.1","102.33","127.35","12.9","188.61","65.61"
"Ho Chi Minh City","6/26/2023 10:15","Fire","75.94","65.49","100","65.73","70","96.2","143.77","13.05","190.62","66.61"
"Ho Chi Minh City","6/26/2023 10:20","Fire","72.5","86.01","59.94","70.26","82.64","119.49","99.08","7.07","188.32","95.3"
"Ho Chi Minh City","6/26/2023 10:25","Fire","74.81","64.92","87.14","72.12","69.67","99.99","121.19","9.32","134.47","67.43"
"Ho Chi Minh City","6/26/2023 11:00","Non","27.01","18.68","20.58","21.85","19.71","16.72","16.1","76.65","21.5","29.2"
"Ho Chi Minh City","6/26/2023 12:00","Non","35.67","23.62","18.92","28.29","29.69","25.75","20.02","64.05","28.67","28.47"
"Ho Chi Minh City","6/26/2023 13:00","Fire","66.02","65.73","85.08","82.49","67.22","108.56","103.47","12.87","125.96","70.97"
"Ho Chi Minh City","6/26/2023 13:05","Fire","68.67","60.97","84.7","92.55","79.29","97.12","101.73","15.05","170.19","93.41"
"Ho Chi Minh City","6/26/2023 13:10","Fire","99.13","67.16","83.65","77.23","66.32","129.39","128.58","13.75","125.02","89.34"
"Ho Chi Minh City","6/26/2023 13:15","Fire","78.5","72.95","79.95","80.73","69.89","149.51","144.76","14.45","179.75","93.54"
"Ho Chi Minh City","6/26/2023 13:20","Fire","81.19","55.63","83.7","61.4","60.59","137.36","137.65","8.01","171.01","83.01"
"Ho Chi Minh City","6/26/2023 14:00","Non","34.46","25.29","13.35","21.12","15","12.96","16.33","94.29","31.55","21.63"
"Ho Chi Minh City","6/26/2023 15:00","Fire","71.9","69","81.61","90.44","98.4","87.43","106.63","6.88","143.64","99.84"
"Ho Chi Minh City","6/26/2023 15:05","Fire","65.9","69.8","95.41","82.98","98.24","70","103.02","11.37","97.21","90.61"
"Ho Chi Minh City","6/26/2023 15:10","Fire","68.42","85.38","84.98","78.08","79.87","96.99","107.7","15.53","145.59","76.18"
"Ho Chi Minh City","6/26/2023 15:15","Fire","99.73","56.16","95.5","90.56","78.09","108.85","147.09","12.34","121.34","86.7"
"Ho Chi Minh City","6/26/2023 15:20","Fire","71.27","60.97","57.3","63.74","93.61","146.4","114.17","5.99","186.04","77.33"
"Ho Chi Minh City","6/26/2023 16:00","Non","27.9","26.03","22.61","17.22","19.22","29.83","16.04","64.5","30.69","27.5"
"Ho Chi Minh City","6/26/2023 17:00","Non","21.62","11.27","24.19","17.56","22.57","26.28","23.21","61.28","27.96","27.09"
"Ho Chi Minh City","6/26/2023 18:00","Non","20.94","13.74","15.84","27.39","15.63","11.92","13.22","85.65","30.78","23.6"
"Ho Chi Minh City","6/26/2023 19:00","Fire","66.09","87.36","97.3","94.83","65.46","146.53","73.59","16.1","122.24","85.24"
"Ho Chi Minh City","6/26/2023 19:05","Fire","68.08","77.91","68.01","97.83","79.91","115.89","102.06","15.66","154.45","99.07"
"Ho Chi Minh City","6/26/2023 19:10","Fire","88.39","59.88","97.82","98.07","73.04","125.62","100.94","18.79","180.34","98.93"
"Ho Chi Minh City","6/26/2023 20:00","Non","28.63","12.49","20.41","26.79","27.24","20.11","14.75","70.05","21.9","21.16"
"Ho Chi Minh City","6/26/2023 21:00","Non","24.11","12.27","12.42","25.93","21.27","19.13","23.4","98.99","31.43","29.83"
"Ho Chi Minh City","6/26/2023 22:00","Fire","66.58","75.35","92.43","69.96","79.74","100.41","135.93","7.19","169.35","84"
"Ho Chi Minh City","6/26/2023 22:05","Fire","97.18","61.25","70.08","99","93.63","143.71","105.82","6.75","171.43","71.2"
"Ho Chi Minh City","6/26/2023 23:00","Non","24.54","15.84","14.22","29.2","24.06","11.61","11.03","82.28","21.58","28.35"
"Ho Chi Minh City","6/27/2023 0:00","Fire","65.01","79.87","62.05","76.41","92.92","142.94","91.33","14.93","151.94","66.47"
"Ho Chi Minh City","6/27/2023 0:05","Fire","96.67","88.79","76.09","71.58","61.56","114.72","83.34","13.24","144.69","79.12"
"Ho Chi Minh City","6/27/2023 0:10","Fire","88.63","89.75","82.44","87.92","62.3","112.54","126.77","7.29","102.85","75.65"
"Ho Chi Minh City","6/27/2023 1:00","Non","25.6","12.22","14.23","23.41","25.09","12.55","21.82","76.89","32.79","23.72"
"Ho Chi Minh City","6/27/2023 2:00","Non","21.52","12.41","22.95","28.39","17.17","24.61","13.07","66.67","32.72","26.12"
"Ho Chi Minh City","6/27/2023 3:00","Fire","68.2","73.07","91.47","64.43","73.07","88.67","125.98","13.79","189.18","83.78"
"Ho Chi Minh City","6/27/2023 4:00","Non","31.77","23.31","14.15","21.28","29.49","19.86","29.04","97.88","27.2","27.91"
"Ho Chi Minh City","6/27/2023 5:00","Non","25.43","19.64","17.8","17.42","16.58","22.4","10.26","66.38","27.17","29.51"
"Ho Chi Minh City","6/27/2023 6:00","Non","32.15","12.21","21.89","23.66","20.99","15.14","18.38","88.26","24.74","23.2"
"Ho Chi Minh City","6/27/2023 7:00","Fire","86.09","72.93","81.48","62.9","63.2","82.39","75.41","5.88","179.57","78.48"
"Ho Chi Minh City","6/27/2023 7:05","Fire","90.41","86.83","65.61","77.25","87.12","116.7","139.58","18.5","107.76","92.92"
"Ho Chi Minh City","6/27/2023 7:10","Fire","69.14","61.42","55.71","86.77","70.47","97.84","105.25","12.09","138.9","67.84"
"Ho Chi Minh City","6/27/2023 7:15","Fire","69.99","73.57","72.79","70.41","81.6","82.71","131.97","19.32","181.96","79.29"
"Ho Chi Minh City","6/27/2023 7:20","Fire","81.68","80.9","64.45","95.86","80.1","128.32","97.21","6.76","147.37","99.83"
"Ho Chi Minh City","6/27/2023 8:00","Non","30.38","29.67","12.98","16.63","19.79","18.88","18.57","61.01","24.73","22.56"
"Ho Chi Minh City","6/27/2023 9:00","Fire","77.1","87.31","75.66","79.76","73.08","125.67","93.82","19.57","155.57","71.24"
"Ho Chi Minh City","6/27/2023 9:05","Fire","99.33","57.58","67.95","78.97","68.79","104.06","97.46","15.36","173.12","90.67"
"Ho Chi Minh City","6/27/2023 9:10","Fire","65.55","69.76","74.98","68.18","95.25","148.01","90.63","20","127.6","82.51"
"Ho Chi Minh City","6/27/2023 9:15","Fire","68.77","59.63","73.83","82.18","73.47","115.04","148.5","16.72","170.92","68.53"
"Ho Chi Minh City","6/27/2023 9:20","Fire","68.45","58.27","66.62","65.85","68.35","97.21","133.24","15.26","172.24","94.61"
"Ho Chi Minh City","6/27/2023 10:00","Non","38.81","18.75","16.85","18.88","23.3","20.39","14.68","90.75","27.72","25.89"
"Ho Chi Minh City","6/27/2023 11:00","Fire","73.34","71.49","61.79","68.28","86.48","90.95","71.83","9.17","152.46","90.03"
"Ho Chi Minh City","6/27/2023 11:05","Fire","67.41","59.92","67.12","90.04","76.93","80.47","93.48","17.39","155.09","87.06"
"Ho Chi Minh City","6/27/2023 11:10","Fire","92.86","81.44","84.9","82.27","86.68","103.51","98.98","14.48","116.79","69.06"
"Ho Chi Minh City","6/27/2023 11:15","Fire","76.89","76.67","69.03","92.3","92","140.61","113.41","5.24","176.4","73.61"
"Ho Chi Minh City","6/27/2023 11:20","Fire","84.75","60.54","90.23","97.6","87.48","149.54","90.55","19.02","174","91.59"
"Ho Chi Minh City","6/27/2023 11:25","Fire","88.83","89.25","93.89","74.6","91.04","136.27","137.02","8.06","119.84","91.79"
"Ho Chi Minh City","6/27/2023 11:30","Fire","96.3","76.56","76.86","90.05","95.54","102.19","90.53","14.61","128.71","79.68"
"Ho Chi Minh City","6/27/2023 11:35","Fire","78.19","67.08","66.39","64.88","81.38","134.21","95.67","14.12","167.68","68.16"
"Ho Chi Minh City","6/27/2023 11:40","Fire","70.35","81.8","98.94","98.48","99.85","116.66","77.65","7.95","94.46","78.26"
"Ho Chi Minh City","6/27/2023 11:45","Fire","76.41","65.15","91.8","89.41","94.28","91.79","88.04","7.32","146.66","84.86"
"Ho Chi Minh City","6/27/2023 11:50","Fire","83.49","66.69","95.87","66.17","62.41","90.82","121.86","6.98","177.83","69.55"
"Ho Chi Minh City","6/27/2023 11:55","Fire","76.11","70.79","59.09","82.21","97.72","98.27","81.41","6.9","117.17","81.74"
"Ho Chi Minh City","6/27/2023 12:00","Fire","79.18","56.06","64.08","90.78","93.3","128.81","100.1","18.62","163.28","95.53"
"Ho Chi Minh City","6/27/2023 12:05","Fire","81.03","59.45","65.09","81.95","62.85","76.48","93.2","15.26","171.98","97.61"
"Ho Chi Minh City","6/27/2023 12:10","Fire","98.28","85.38","58.31","84.96","61.32","87.19","115.03","14.3","101.23","98.39"
"Ho Chi Minh City","6/27/2023 13:00","Non","32.83","21.29","10.33","16.4","26.58","13.23","11.83","69.99","27.47","20.59"
"Ho Chi Minh City","6/27/2023 14:00","Non","31.83","25.65","27.34","26.88","20.35","20.05","11.06","81.57","31.92","20.52"
"Ho Chi Minh City","6/27/2023 15:00","Non","38.25","24.46","15.22","17.82","17.74","29.97","12.41","84.64","28.14","20.15"
"Ho Chi Minh City","6/27/2023 16:00","Fire","79.39","68.32","92.31","88.33","61.65","138.32","130.62","17.62","117.58","81.64"
"Ho Chi Minh City","6/27/2023 16:05","Fire","77.27","70.3","68.31","91.86","93.87","100.51","109.44","16.57","150.63","98.55"
"Ho Chi Minh City","6/27/2023 16:10","Fire","67.63","67.57","58.15","89.81","95.05","102.71","79.82","9.77","192.12","69.96"
"Ho Chi Minh City","6/27/2023 16:15","Fire","88.05","67.05","67.58","60.28","66.31","78.14","134.81","18.46","176.13","99.81"
"Ho Chi Minh City","6/27/2023 16:20","Fire","90.05","61.34","91.22","97.94","67.76","101.87","105.51","7.46","154.37","96.68"
"Ho Chi Minh City","6/27/2023 16:25","Fire","91.23","69.44","99.08","64.76","74.09","117.03","147.41","19.72","138.1","72.02"
"Ho Chi Minh City","6/27/2023 16:30","Fire","84.08","85.35","92.62","90.32","83.97","90.52","114.06","15.37","170.44","76.05"
"Ho Chi Minh City","6/27/2023 17:00","Non","35.46","25.88","19.9","29.34","28.48","21.92","21.68","86.63","22.21","21.09"
"Ho Chi Minh City","6/27/2023 18:00","Fire","87.86","58.1","59.31","62.95","85.82","112.99","147.48","18.91","176.63","90.32"
"Ho Chi Minh City","6/27/2023 18:05","Fire","92.72","71.1","79.02","87.17","91.79","91.18","134.13","9.57","101.41","70.46"
"Ho Chi Minh City","6/27/2023 19:00","Non","22.42","18.25","23.62","21.26","25.36","23.22","16.06","64.26","29.31","22.58"
"Ho Chi Minh City","6/27/2023 20:00","Fire","72.37","64.25","62.99","86.13","77.16","143.15","126.16","11.48","187.35","66.39"
"Ho Chi Minh City","6/27/2023 20:05","Fire","93.52","61.09","60.79","76.89","62.87","73.34","89.69","11.56","119.99","97.69"
"Ho Chi Minh City","6/27/2023 20:10","Fire","82.72","79.06","94.92","66.15","94.24","149.28","100.6","13.53","187.1","92.87"
"Ho Chi Minh City","6/27/2023 21:00","Non","23.98","11.25","21.29","21.56","20.31","19.49","16.94","88.08","31.17","23.63"
"Ho Chi Minh City","6/27/2023 22:00","Fire","81.02","69.75","60.86","83.47","99.9","138","124.39","12.02","177.95","86.82"
"Ho Chi Minh City","6/27/2023 22:05","Fire","92.08","88.39","68.58","89.11","97.71","121.55","96.38","11.47","91.17","95.29"
"Ho Chi Minh City","6/27/2023 22:10","Fire","78.24","72.48","97.16","61.95","71.59","121.16","120.22","9.75","109.27","83.7"
"Ho Chi Minh City","6/27/2023 23:00","Non","21.02","26.61","18.59","15.64","26.47","22.51","27.15","71.25","23.34","23.34"
"Ho Chi Minh City","6/28/2023 0:00","Fire","70.14","88.02","63.43","85.1","79.76","110.45","90.78","16.23","112.85","74.2"
"Ho Chi Minh City","6/28/2023 1:00","Non","32.55","15.35","29.94","24.32","16.83","19.98","21.46","92.07","28.96","20.28"
"Ho Chi Minh City","6/28/2023 2:00","Fire","88.87","62.66","72.4","61.16","85.2","114.37","90.59","13.33","153.81","96"
"Ho Chi Minh City","6/28/2023 2:05","Fire","87.72","83.78","93.79","78.28","79.15","86.26","105.14","8.3","125.77","76.26"
"Ho Chi Minh City","6/28/2023 3:00","Non","37.38","23.52","15.24","20.76","29.82","13.19","15.95","92.62","21.11","25.25"
"Ho Chi Minh City","6/28/2023 4:00","Fire","89.64","55.38","99.55","86.61","92.32","123.89","105.66","9.95","189.88","78.99"
"Ho Chi Minh City","6/28/2023 4:05","Fire","67.78","88.73","89.91","83.58","84.05","127.28","74.92","18.44","189.1","75.37"
"Ho Chi Minh City","6/28/2023 4:10","Fire","93.25","59.08","89.17","83.13","92.67","123.04","134.5","17.08","199.52","89.85"
"Ho Chi Minh City","6/28/2023 4:15","Fire","95.72","85.82","97.48","70.67","75.19","102.16","108.09","9.3","95.6","76.89"
"Ho Chi Minh City","6/28/2023 4:20","Fire","74.32","64.49","92.65","75.25","85.69","136.43","149.85","5.02","182.92","86.87"
"Ho Chi Minh City","6/28/2023 4:25","Fire","66.77","89.11","82.4","94.53","60.92","126.27","137.43","17.91","117.73","80.43"
"Ho Chi Minh City","6/28/2023 4:30","Fire","86.82","78.32","68.47","69.89","66.41","77.23","133.47","10.11","98.22","98.44"
"Ho Chi Minh City","6/28/2023 5:00","Non","29.52","15.31","27.85","16.98","25.55","11.63","27.75","65.81","23.2","29.4"
"Ho Chi Minh City","6/28/2023 6:00","Fire","79.23","73.26","80.75","72.35","86.78","145.93","139.19","14.99","161.65","83.04"
"Ho Chi Minh City","6/28/2023 6:05","Fire","81.15","85.4","64.44","68.67","67.57","101.99","71.61","18.75","188.19","67.73"
"Ho Chi Minh City","6/28/2023 6:10","Fire","66.12","73.65","72.69","76.95","89.67","131.85","130.51","13.98","155.69","79.71"
"Ho Chi Minh City","6/28/2023 7:00","Non","24.63","13.62","26.67","18.33","27.15","23.35","20.93","83.77","24.29","28.22"
"Ho Chi Minh City","6/28/2023 8:00","Fire","99.11","89.13","74.45","62.11","98.04","97.54","148.65","11.53","150.28","98.81"
